Date,Month,Day of week,season,Deaths,Temp,RelHumid,O3,SO2,NO2,CO
1/1/1987,1,5,1,96,57,88.125,-16.0073,2.8412,26.3063,2436.2
1/2/1987,1,6,1,107,57.625,84.5625,-11.6595,1.1812,27.8281,2011.5
1/3/1987,1,7,1,99,58.375,83.0625,-10.3241,1.1416,11.1614,1215.5
1/4/1987,1,1,1,93,54.875,84.5625,-18.6471,-3.0086,-12.3531,-767.8
1/5/1987,1,2,1,97,54.6875,65.125,-17.5291,-1.4868,-10.2597,145.7
1/6/1987,1,3,1,93,49.875,85.875,-22.7846,0.3138,-7.7275,736.7
1/7/1987,1,4,1,73,52.875,69.5,-19.0819,-0.4196,-10.9214,472.9
1/8/1987,1,5,1,104,54.5,65.375,-18.5332,1.8907,-0.4649,1295.8
1/9/1987,1,6,1,92,55,49.1875,-17.3117,3.8689,11.3386,1991.4
1/10/1987,1,7,1,78,57.4375,37.3125,-14.175,4.7385,17.8492,2081.7
1/11/1987,1,1,1,84,61.5625,29,-14.5477,0.0349,-4.793,322.5
1/12/1987,1,2,1,99,58.4375,50.75,-19.0508,1.6555,0.9456,1236
1/13/1987,1,3,1,87,56.1875,86.9375,-21.1626,4.7672,21.6619,2292.4
1/14/1987,1,4,1,96,55.9375,63.25,-17.6349,3.091,10.227,2016
1/15/1987,1,5,1,89,47.9375,24.4375,-14.2682,-2.0486,-15.4754,-386.5
1/16/1987,1,6,1,95,47,22.1875,-13.8024,-1.5086,-16.6993,-356.4
1/17/1987,1,7,1,78,50.5625,45.0625,-16.9701,1.8926,-0.3114,1024.9
1/18/1987,1,1,1,107,51.8125,74.3125,-16.2247,-0.4394,-0.0773,770.7
1/19/1987,1,2,1,101,52.75,76.25,-13.4833,0.7533,6.1338,1150.9
1/20/1987,1,3,1,70,52.9375,45.25,-14.238,1.1492,-5.286,706
1/21/1987,1,4,1,80,52.875,47.375,-19.0301,4.4885,19.4819,2272.7
1/22/1987,1,5,1,90,55.6875,63.6875,-20.9357,6.7026,41.1359,3235.6
1/23/1987,1,6,1,89,54.5625,78.375,-20.7517,2.9432,14.1368,1513.2
1/24/1987,1,7,1,102,56.375,75.6875,-15.0135,1.5954,4.6719,1436.2
1/25/1987,1,1,1,86,61.5,68.25,-10.4483,1.9432,14.4378,1911.2
1/26/1987,1,2,1,98,62.9375,63.3125,-18.0504,3.2476,18.474,1636.9
1/27/1987,1,3,1,96,60.3125,81.8125,-23.0488,9.3038,55.1243,3630.9
1/28/1987,1,4,1,90,56.4375,77.1875,-17.704,-0.6418,-2.3713,-129.6
1/29/1987,1,5,1,83,55.625,81.625,-19.0819,-1.0568,-9.774,95.0998
1/30/1987,1,6,1,90,55.5625,71.125,-18.6426,-0.973,-7.6852,-57.313
1/31/1987,1,7,1,85,56.8125,73.125,-12.498,2.0736,-0.9134,352.6
2/1/1987,2,1,1,75,57.0625,81.4375,-3.3365,2.8412,21.1936,1553.3
2/2/1987,2,2,1,73,58.0625,73,-7.2771,5.5631,42.5546,2690.4
2/3/1987,2,3,1,81,56.4375,88.875,-16.5367,2.3346,12.7319,921.4
2/4/1987,2,4,1,97,58,80.25,-14.799,3.3695,10.2412,1563.3
2/5/1987,2,5,1,93,66.5,21.5625,-14.4649,5.8847,24.4999,2677.2
2/6/1987,2,6,1,91,70.125,25.25,-15.4017,3.7859,8.7187,1945.5
2/7/1987,2,7,1,83,67.625,25.875,-14.144,0.6476,-8.1375,279
2/8/1987,2,1,1,90,63.625,55.4375,-16.2558,0.5092,-2.4184,115.2
2/9/1987,2,2,1,101,58.25,95.0625,-22.6533,-0.1825,-3.9675,21.4039
2/10/1987,2,3,1,94,60.9375,91.4375,-20.1067,-1.7833,-11.6887,-373.1
