"y1","y2","y3","elev","length","forest","ivel1","ivel2","ivel3","date1","date2","date3"
0,0,0,-1.173,0.801,-1.156,-0.506,-0.506,-0.506,-1.761,0.31,1.381
0,0,0,-1.127,0.115,-0.501,-0.934,-0.991,-1.162,-2.904,-1.047,0.596
3,2,1,-0.198,-0.479,-0.101,-1.136,-1.339,-1.61,-1.69,-0.476,1.453
0,0,0,-0.105,0.315,0.008,-0.819,-0.927,-1.197,-2.19,-0.69,1.239
3,0,3,-1.034,-1.102,-1.193,0.638,0.88,1.042,-1.833,0.167,1.381
0,0,0,-0.848,0.741,0.917,-1.329,-1.042,-0.899,-2.619,0.167,1.381
0,0,0,-0.91,0.115,-1.083,-1.448,-1.562,-1.676,-2.69,-1.19,1.596
0,0,0,-1.003,-1.007,-0.792,-0.321,-0.557,-0.636,-2.119,-0.476,1.453
0,0,0,-0.058,-0.913,0.553,-0.231,-0.231,-0.001,-2.047,-0.547,1.167
0,0,0,-0.631,1.556,0.808,-1.097,-1.021,-0.832,-2.333,-1.119,-0.261
0,0,0,0.066,-1.626,1.79,-0.224,0.058,-0.224,-1.69,0.453,1.453
NA,NA,NA,-0.709,1.647,-0.72,NA,NA,NA,-1.047,0.739,2.596
0,0,0,-1.111,-0.399,-0.647,0.417,0.284,0.549,-1.833,-0.333,1.953
0,0,0,-0.26,0.685,0.844,-1.354,-1.014,-1.159,-0.904,1.096,1.239
0,0,0,-0.647,0.801,-0.32,-1.117,-0.224,-0.788,-2.547,-0.261,1.31
0,0,0,0.189,0.741,-0.101,-0.278,-0.182,0.009,-1.333,0.31,1.524
0,0,0,0.143,-0.322,1.135,-0.483,-0.884,-0.819,-1.833,-1.047,0.524
1,0,1,-1.235,0.801,0.372,-1.07,-1.258,-1.211,-2.333,-0.976,2.31
0,0,0,-0.972,1.175,-0.138,-1.115,-0.735,-0.482,-2.404,-0.833,0.667
1,1,1,-1.219,-0.245,-0.974,-0.862,-1.115,-0.988,-1.333,-0.261,1.524
0,0,0,0.313,-1.007,1.572,-0.242,-0.242,-0.399,0.024,1.524,3.239
0,0,0,-1.003,0.503,0.081,-0.462,-0.615,-0.462,-1.69,-0.261,1.596
